EMPLOYEE_ID,EMPLOYEE_NAME,DESIGNATION,DEPARTMENT,EMAIL,PHONE,REGION,COUNTRY,JOIN_DATE,STATUS,PROFILE_IMAGE,DISPLAY_COLOR,OLD_EMPLOYEE_CODE,LEGACY_EMPLOYEE_ID,EXPORT_FLAG,CACHE_KEY,TEMP_FLAG,ICON_NAME,REPORT_GROUP,MIGRATION_BATCH
EMP00001,Mohit Patel,Store Manager,Operations,,+919225215902,Americas,India,2025-01-18,INACTIVE,emp_1.jpg,#4ECDC4,OLD1,1,0,emp_1,1,user_icon,GROUP1,BATCH_2024
EMP00002,Vikram Gupta,Supervisor,Sales,vikram.gupta@hoj.com,+919593848388,Americas,UK,2022-04-28,ON_LEAVE,emp_2.jpg,#FF6B6B,OLD2,2,0,emp_2,0,user_icon,GROUP7,BATCH_2024
EMP00003,Sneha Gupta,Analyst,Operations,sneha.gupta@hoj.com,+917234625488,Middle East,Singapore,2021-03-11,ON_LEAVE,emp_3.jpg,#45B7D1,OLD3,3,0,emp_3,0,user_icon,GROUP8,BATCH_2023
EMP00004,Priya Patel,Analyst,Finance,,+916465335983,Europe,India,2025-01-10,INACTIVE,emp_4.jpg,#4ECDC4,OLD4,4,0,emp_4,1,user_icon,GROUP4,BATCH_2026
EMP00005,Sneha Desai,Executive,Operations,sneha.desai@hoj.com,+916512330202,Europe,Singapore,2024-09-01,INACTIVE,emp_5.jpg,#45B7D1,OLD5,5,1,emp_5,1,user_icon,GROUP7,BATCH_2023
EMP00006,Priya Singh,Manager,Operations,priya.singh@hoj.com,+919343629371,Asia-East,India,2023-11-09,INACTIVE,emp_6.jpg,#45B7D1,OLD6,6,0,emp_6,1,user_icon,GROUP6,BATCH_2026
EMP00007,Anjali Sharma,Executive,Customer Service,anjali.sharma@hoj.com,+917549411647,Asia-East,Australia,2021-12-05,ACTIVE,emp_7.jpg,#FF6B6B,OLD7,7,1,emp_7,0,user_icon,GROUP8,BATCH_2023
EMP00008,Vikram Sharma,Supervisor,Sales,vikram.sharma@hoj.com,+916255196145,Asia-East,USA,2020-12-14,ACTIVE,emp_8.jpg,#45B7D1,OLD8,8,0,emp_8,1,user_icon,GROUP8,BATCH_2026
EMP00009,Rajesh Verma,Store Manager,IT,rajesh.verma@hoj.com,+918371500226,Middle East,USA,2026-05-07,ACTIVE,emp_9.jpg,#4ECDC4,OLD9,9,0,emp_9,0,user_icon,GROUP8,BATCH_2024
EMP00010,Vikram Nair,Supervisor,Customer Service,vikram.nair@hoj.com,+919007970747,Middle East,UK,2026-04-27,ACTIVE,emp_10.jpg,#FF6B6B,OLD10,10,0,emp_10,0,user_icon,GROUP2,BATCH_2021
